DATE,DEXBZUS
2014-12-22,2.6532
2014-12-23,2.6996
2014-12-24,2.6950
2014-12-25,.
2014-12-26,.
2014-12-29,2.6974
2014-12-30,2.6605
2014-12-31,2.6563
2015-01-01,.
2015-01-02,2.6967
2015-01-05,2.7284
2015-01-06,2.7013
2015-01-07,2.7000
2015-01-08,2.6635
2015-01-09,2.6375
2015-01-12,2.6673
2015-01-13,2.6366
2015-01-14,2.6145
2015-01-15,2.6324
2015-01-16,2.6225
2015-01-19,.
2015-01-20,2.6148
2015-01-21,2.5982
2015-01-22,2.5644
2015-01-23,2.5805
2015-01-26,2.5820
2015-01-27,2.5737
2015-01-28,2.5825
2015-01-29,2.6113
2015-01-30,2.6843
2015-02-02,2.7086
2015-02-03,2.7016
2015-02-04,2.7403
2015-02-05,2.7306
2015-02-06,2.7681
2015-02-09,2.7872
2015-02-10,2.8304
2015-02-11,2.8724
2015-02-12,2.8225
2015-02-13,2.8273
2015-02-16,.
2015-02-17,2.8290
2015-02-18,2.8467
2015-02-19,2.8578
2015-02-20,2.8773
2015-02-23,2.8688
2015-02-24,2.8462
2015-02-25,2.8656
2015-02-26,2.8806
2015-02-27,2.8618
2015-03-02,2.8765
2015-03-03,2.8967
2015-03-04,2.9790
2015-03-05,2.9961
2015-03-06,3.0601
2015-03-09,3.1015
2015-03-10,3.1273
2015-03-11,3.0881
2015-03-12,3.1247
2015-03-13,3.2605
2015-03-16,3.2204
2015-03-17,3.2632
2015-03-18,3.2747
2015-03-19,3.2931
2015-03-20,3.2206
2015-03-23,3.1596
2015-03-24,3.1534
2015-03-25,3.1609
2015-03-26,3.1768
2015-03-27,3.2412
2015-03-30,3.2515
2015-03-31,3.1843
2015-04-01,3.1547
2015-04-02,3.1373
2015-04-03,3.1200
2015-04-06,3.0961
2015-04-07,3.1105
2015-04-08,3.0852
2015-04-09,3.0345
2015-04-10,3.0784
2015-04-13,3.1157
2015-04-14,3.0779
2015-04-15,3.0571
2015-04-16,3.0180
2015-04-17,3.0639
2015-04-20,3.0446
2015-04-21,3.0330
2015-04-22,2.9988
2015-04-23,2.9807
2015-04-24,2.9631
2015-04-27,2.9049
2015-04-28,2.9002
2015-04-29,2.9393
2015-04-30,3.0121
2015-05-01,3.0145
2015-05-04,3.0720
2015-05-05,3.0585
2015-05-06,3.0485
2015-05-07,3.0390
2015-05-08,2.9808
2015-05-11,3.0385
2015-05-12,3.0223
2015-05-13,3.0265
2015-05-14,2.9910
2015-05-15,2.9779
2015-05-18,3.0120
2015-05-19,3.0175
2015-05-20,3.0308
2015-05-21,3.0431
2015-05-22,3.0705
2015-05-25,.
2015-05-26,3.1489
2015-05-27,3.1708
2015-05-28,3.1755
2015-05-29,3.1855
2015-06-01,3.1655
2015-06-02,3.1391
2015-06-03,3.1103
2015-06-04,3.1446
2015-06-05,3.1604
2015-06-08,3.1226
2015-06-09,3.0950
2015-06-10,3.1013
2015-06-11,3.1419
2015-06-12,3.1011
2015-06-15,3.0958
2015-06-16,3.1052
2015-06-17,3.0946
2015-06-18,3.0405
2015-06-19,3.0887
2015-06-22,3.0833
2015-06-23,3.0913
2015-06-24,3.0884
2015-06-25,3.1144
2015-06-26,3.1223
2015-06-29,3.1403
2015-06-30,3.1106
2015-07-01,3.1269
2015-07-02,3.1110
2015-07-03,.
2015-07-06,3.1454
2015-07-07,3.1905
2015-07-08,3.2319
2015-07-09,3.2130
2015-07-10,3.1834
2015-07-13,3.1507
2015-07-14,3.1197
2015-07-15,3.1531
2015-07-16,3.1340
2015-07-17,3.1915
2015-07-20,3.2123
2015-07-21,3.1725
2015-07-22,3.2232
2015-07-23,3.2862
2015-07-24,3.3302
2015-07-27,3.3560
2015-07-28,3.3941
2015-07-29,3.3308
2015-07-30,3.3696
2015-07-31,3.4078
2015-08-03,3.4487
2015-08-04,3.4693
2015-08-05,3.4884
2015-08-06,3.5684
2015-08-07,3.5281
2015-08-10,3.4699
2015-08-11,3.5086
2015-08-12,3.4725
2015-08-13,3.5147
2015-08-14,3.4625
2015-08-17,3.4728
2015-08-18,3.4623
2015-08-19,3.5021
2015-08-20,3.4617
2015-08-21,3.4970
2015-08-24,3.5539
2015-08-25,3.5456
2015-08-26,3.6333
2015-08-27,3.5499
2015-08-28,3.5938
2015-08-31,3.6206
2015-09-01,3.6715
2015-09-02,3.7389
2015-09-03,3.7546
2015-09-04,3.8094
2015-09-07,.
2015-09-08,3.8081
2015-09-09,3.7900
2015-09-10,3.8587
2015-09-11,3.8757
2015-09-14,3.8391
2015-09-15,3.8655
2015-09-16,3.8255
2015-09-17,3.8930
2015-09-18,3.9210
2015-09-21,3.9911
2015-09-22,4.0490
2015-09-23,4.1093
2015-09-24,4.1638
2015-09-25,3.9489
2015-09-28,4.0070
2015-09-29,4.0921
2015-09-30,3.9554
2015-10-01,4.0003
2015-10-02,3.9712
2015-10-05,3.8924
2015-10-06,3.8406
2015-10-07,3.8123
2015-10-08,3.8295
2015-10-09,3.7339
2015-10-12,.
2015-10-13,3.8314
2015-10-14,3.8366
2015-10-15,3.8420
2015-10-16,3.8527
2015-10-19,3.9005
2015-10-20,3.8845
2015-10-21,3.9514
2015-10-22,3.9249
2015-10-23,3.8964
2015-10-26,3.8788
2015-10-27,3.9002
2015-10-28,3.8594
2015-10-29,3.8971
2015-10-30,3.8439
2015-11-02,3.8503
2015-11-03,3.7578
2015-11-04,3.7946
2015-11-05,3.7809
2015-11-06,3.8055
2015-11-09,3.7855
2015-11-10,3.7978
2015-11-11,.
2015-11-12,3.7898
2015-11-13,3.8235
2015-11-16,3.8460
2015-11-17,3.8123
2015-11-18,3.7914
2015-11-19,3.7365
2015-11-20,3.7048
2015-11-23,3.7239
2015-11-24,3.7064
2015-11-25,3.7508
2015-11-26,.
2015-11-27,3.7736
2015-11-30,3.8982
2015-12-01,3.8491
2015-12-02,3.8633
2015-12-03,3.7762
2015-12-04,3.7426
2015-12-07,3.7595
2015-12-08,3.8032
2015-12-09,3.7264
2015-12-10,3.7787
2015-12-11,3.8791
2015-12-14,3.8972
2015-12-15,3.9000
2015-12-16,3.9421
2015-12-17,3.9053
2015-12-18,3.9336
2015-12-21,4.0231
2015-12-22,3.9980
2015-12-23,3.9672
2015-12-24,3.9358
2015-12-25,.
2015-12-28,3.8590
2015-12-29,3.8917
2015-12-30,3.9880
2015-12-31,3.9593
2016-01-01,.
2016-01-04,4.0613
2016-01-05,4.0108
2016-01-06,4.0163
2016-01-07,4.0504
